Cluster,SubclusterName,end.year,two.year.change,Competitive.Effect,Expected.Change,Ind.Mix.Effect,Natl.Growth.Effect,start.jobs,end.jobs
Aerospace Vehicles and Defense,Missiles and Space Vehicles,2009,-14.317821,-23.11610874,1.39639317,2.581687894,-0.89710824,52.7216789,38.4038579
Aerospace Vehicles and Defense,Missiles and Space Vehicles,2010,-31.32605276,-32.64498093,0,0.980317957,-1.88395443,55.66130002,24.33524725
Aerospace Vehicles and Defense,Missiles and Space Vehicles,2011,-2.343573457,-2.524338805,0,0.018459632,0.025206839,5.117788697,2.774215239
Aerospace Vehicles and Defense,Missiles and Space Vehicles,2012,5.822819955,5.585785529,0,-0.016587718,0.028923368,1.508435473,7.331255428
Aerospace Vehicles and Defense,Missiles and Space Vehicles,2013,1.040757354,1.104633968,0,-0.035341692,0.037708079,3.172259166,4.21301652
Aerospace Vehicles and Defense,Missiles and Space Vehicles,2014,-6.278541634,-6.897595604,0,-0.195763088,0.253802378,11.65633938,5.377797744
Aerospace Vehicles and Defense,Missiles and Space Vehicles,2015,-0.664094589,-0.162599787,0,-0.089313132,0.091966506,5.464024579,4.79992999
Aerospace Vehicles and Defense,Missiles and Space Vehicles,2016,5.315059731,5.904247424,0,-0.008316355,0.01382765,0.562763909,5.87782364
Aerospace Vehicles and Defense,Missiles and Space Vehicles,2017,-1.345579073,-1.562432466,0,0.107730981,0.085535037,6.573201879,5.227622806
Aerospace Vehicles and Defense,Missiles and Space Vehicles,2018,0.708030673,1.085208099,0.92447443,0.564210121,0.183154946,13.62680856,14.33483923
Aerospace Vehicles and Defense,Search and Navigation Equipment,2003,378.1432629,346.2773654,-21.46281028,-13.4196664,-12.53234157,3721.353495,4099.496758
Aerospace Vehicles and Defense,Search and Navigation Equipment,2004,455.2730978,516.4927813,12.60862019,2.853614497,10.67958224,4370.47078,4825.743878
Aerospace Vehicles and Defense,Search and Navigation Equipment,2005,229.1156367,249.6867047,122.0087843,92.65196963,43.37813026,3842.738465,4071.854102
Aerospace Vehicles and Defense,Search and Navigation Equipment,2006,-182.912372,-294.1696154,112.4548687,76.74911847,56.19847238,4174.317492,3991.40512
Aerospace Vehicles and Defense,Search and Navigation Equipment,2007,-202.2664116,-159.0849371,-19.47702016,-32.14603237,26.14304188,4053.780581,3851.51417
Aerospace Vehicles and Defense,Search and Navigation Equipment,2008,-380.2585478,-284.5647301,-50.25776744,-56.24691798,14.5721432,4351.913349,3971.654801
Aerospace Vehicles and Defense,Search and Navigation Equipment,2009,-242.2676149,-164.5172658,-65.60953482,22.41621917,-84.35425855,4836.911821,4594.644206
Aerospace Vehicles and Defense,Search and Navigation Equipment,2010,-164.257209,-72.50270566,-54.17651466,14.37343863,-68.63299076,4007.497185,3843.239976
Aerospace Vehicles and Defense,Search and Navigation Equipment,2011,-74.3448772,69.15137648,-101.6540609,-167.5420531,10.5682723,2347.769035,2273.424158
Aerospace Vehicles and Defense,Search and Navigation Equipment,2012,-12.19126947,93.46855305,-108.8783332,-184.8695662,56.48492647,3346.457376,3334.266106
Aerospace Vehicles and Defense,Search and Navigation Equipment,2013,91.7991516,145.2353274,-136.6179057,-204.3942937,41.88675286,3571.497253,3663.296405
Aerospace Vehicles and Defense,Search and Navigation Equipment,2014,49.97035084,137.6736844,-148.0087347,-208.9600505,34.75723432,3518.126201,3568.096552
Aerospace Vehicles and Defense,Search and Navigation Equipment,2015,-113.8491648,-71.26187604,-42.39269865,-116.7517733,45.56497009,3484.781518,3370.932353
Aerospace Vehicles and Defense,Search and Navigation Equipment,2016,-67.1179128,-54.94788343,-27.85815176,-129.3577139,61.89655396,2513.974647,2446.856734
Aerospace Vehicles and Defense,Search and Navigation Equipment,2017,25.98826273,50.37998522,-33.93781751,-103.3581325,47.23517211,3317.580658,3343.568921
Aerospace Vehicles and Defense,Search and Navigation Equipment,2018,185.947046,120.9189848,46.05430479,13.18912777,41.81063484,2808.747309,2994.694355
Agricultural Inputs and Services,Agricultural Production,2003,-170.3474954,-156.0040598,-7.315275129,43.51864267,-41.03218788,10548.1111,10377.76361
Agricultural Inputs and Services,Agricultural Production,2004,-201.0263043,-269.9610119,28.4388127,-10.0425505,36.35136196,10462.44113,10261.41482
Agricultural Inputs and Services,Agricultural Production,2005,172.1600926,195.216112,22.03063462,-74.85320094,122.1160597,6141.531494,6313.691586
Agricultural Inputs and Services,Agricultural Production,2006,163.1614674,175.129308,-4.544181378,-147.477178,113.8704581,6333.271354,6496.432822
Agricultural Inputs and Services,Agricultural Production,2007,18.70737396,-34.98942664,53.69835704,7.504183744,44.52030849,6146.682211,6165.389585
Agricultural Inputs and Services,Agricultural Production,2008,-258.8834633,-365.7968318,99.28699853,65.77716457,28.02483305,9161.056496,8902.173033
Agricultural Inputs and Services,Agricultural Production,2009,-468.9351233,-545.0308893,-1.615624747,188.8551482,-208.7273782,7072.054755,6603.119631
Agricultural Inputs and Services,Agricultural Production,2010,-323.0820199,-186.0362534,-45.63219784,171.8578854,-138.6872279,6209.271307,5886.189288
Agricultural Inputs and Services,Agricultural Production,2011,62.20042673,11.31880406,33.76014214,10.50815096,26.50485617,8486.796535,8548.996962
Agricultural Inputs and Services,Agricultural Production,2012,235.6774771,104.8816192,127.1449803,19.04894105,90.36086997,6548.373692,6784.051169
Agricultural Inputs and Services,Agricultural Production,2013,85.30098809,-71.11022423,96.22640402,5.332498867,106.1272155,5996.217964,6081.518952
Agricultural Inputs and Services,Agricultural Production,2014,121.7937872,-4.779584965,151.6596128,-3.894433249,124.8231183,7622.340265,7744.134053
Agricultural Inputs and Services,Agricultural Production,2015,421.221819,197.4155627,153.7168101,16.58218743,122.6538913,5357.414167,5778.635986
Agricultural Inputs and Services,Agricultural Production,2016,375.1166618,183.7731635,156.3197609,-17.53977096,149.0983972,7084.350746,7459.467408
Agricultural Inputs and Services,Agricultural Production,2017,249.7439524,200.9242301,42.34354225,-83.86268125,133.151205,5453.03905,5702.783002
Agricultural Inputs and Services,Agricultural Production,2018,162.8868643,128.7349919,15.49537985,-96.80415867,91.57232521,9933.406478,10096.29334
Agricultural Inputs and Services,Agricultural Services,2003,-13.94471709,-7.812517694,-4.090453134,-2.013141839,-2.443716632,534.5841359,520.6394188
Agricultural Inputs and Services,Agricultural Services,2004,32.28637599,34.51493919,2.461115919,0.959507466,1.779569056,510.9534895,543.2398655
Agricultural Inputs and Services,Agricultural Services,2005,133.213372,84.83001848,7.891685206,0.37744681,3.810244831,467.8628029,601.0761749
Agricultural Inputs and Services,Agricultural Services,2006,74.23791255,67.25267657,10.91410893,4.498609506,7.723740262,587.6831511,661.9210637
Agricultural Inputs and Services,Agricultural Services,2007,-20.24494285,-29.48130401,6.154846581,3.369372447,3.719371865,526.3509662,506.1060233
Agricultural Inputs and Services,Agricultural Services,2008,192.7321732,169.8939584,7.684728953,4.79450868,1.728163093,502.5019323,695.2341055
Agricultural Inputs and Services,Agricultural Services,2009,176.6569749,240.3092963,-3.87479012,10.35963416,-12.95529038,570.2989993,746.9559742
Agricultural Inputs and Services,Agricultural Services,2010,-61.83550448,-60.07525985,4.532475606,27.94546508,-23.06131539,1280.229793,1218.394288
Agricultural Inputs and Services,Agricultural Services,2011,-21.7055513,-37.19359817,14.77819066,7.736358394,3.099616246,950.9490264,929.2434751
Agricultural Inputs and Services,Agricultural Services,2012,64.48695312,67.44926989,15.89460038,5.64472857,10.29367208,1024.886199,1089.373152
Agricultural Inputs and Services,Agricultural Services,2013,121.822817,95.32034559,21.38429256,9.402223846,17.01980898,785.8544169,907.6772339
Agricultural Inputs and Services,Agricultural Services,2014,142.8595563,122.1173877,16.29492728,8.319251679,11.88652246,1131.237714,1274.09727
Agricultural Inputs and Services,Agricultural Services,2015,-26.96439679,-43.30220626,19.73749297,6.547667073,21.54088151,1346.621259,1319.656862
Agricultural Inputs and Services,Agricultural Services,2016,52.06248254,-0.3756167,38.06992243,28.12345033,16.7401139,1417.663423,1469.725905
Agricultural Inputs and Services,Agricultural Services,2017,169.0798083,164.2864399,49.51007344,38.24961459,13.68312737,1012.630034,1181.709842
Agricultural Inputs and Services,Agricultural Services,2018,139.3035765,118.5196475,18.64799097,-2.981552358,14.51021905,1379.241815,1518.545392
Agricultural Inputs and Services,Farm Management and Labor Services,2003,16.54653543,9.69079865,10.47246739,13.52309752,-7.276719964,1471.697944,1488.244479
Agricultural Inputs and Services,Farm Management and Labor Services,2004,30.46668037,30.93156827,15.55510197,8.949478773,3.802034945,1160.323634,1190.790314
Agricultural Inputs and Services,Farm Management and Labor Services,2005,0.773965607,-35.11428804,41.26088575,19.02806094,19.03535259,1420.793677,1421.567643
Agricultural Inputs and Services,Farm Management and Labor Services,2006,27.23633183,-7.749493839,33.72679445,9.702663509,18.13610653,1330.739091,1357.975423
Agricultural Inputs and Services,Farm Management and Labor Services,2007,-5.055584328,-17.77319041,9.227067966,0.604574281,6.686243427,1229.345936,1224.290351
Agricultural Inputs and Services,Farm Management and Labor Services,2008,50.04322733,20.19559949,24.82927657,17.63355032,5.699514087,1370.862309,1420.905537
Agricultural Inputs and Services,Farm Management and Labor Services,2009,81.62678424,52.30283249,3.922794252,43.02643977,-37.9850029,1043.414392,1125.041176
Agricultural Inputs and Services,Farm Management and Labor Services,2010,35.579772,24.67898094,32.0320358,46.07476463,-38.76050231,1746.456522,1782.036294
Agricultural Inputs and Services,Farm Management and Labor Services,2011,88.16332315,14.60422578,62.62614247,40.4768397,4.954226866,1590.141374,1678.304697
Agricultural Inputs and Services,Farm Management and Labor Services,2012,30.89133193,-4.135976566,40.44907897,16.12903601,29.58101482,1665.148196,1696.039528
Agricultural Inputs and Services,Farm Management and Labor Services,2013,1.77419904,-81.89643074,63.43500116,40.84883945,28.85728005,1049.946546,1051.720745
Agricultural Inputs and Services,Farm Management and Labor Services,2014,68.62308978,-14.40422929,82.15834284,33.56937393,22.18419377,1963.503184,2032.126274
Agricultural Inputs and Services,Farm Management and Labor Services,2015,7.278966977,-26.12702032,36.87992435,0.099903957,27.19944559,1496.967984,1504.24695
Agricultural Inputs and Services,Farm Management and Labor Services,2016,-13.95343598,-25.34054927,17.96255248,-16.15145355,23.6466024,1435.498496,1421.54506
Agricultural Inputs and Services,Farm Management and Labor Services,2017,25.32635525,26.37340602,0,-29.64248368,30.13897077,1913.41609,1938.742445
Agricultural Inputs and Services,Farm Management and Labor Services,2018,18.17814172,16.17071906,4.124850244,-18.74836856,15.80641911,1923.149012,1941.327153
Agricultural Inputs and Services,Fertilizers,2003,4.042174998,6.029033755,-2.836029703,-2.429612112,-0.353341433,59.85327508,63.89545008
Agricultural Inputs and Services,Fertilizers,2004,39.97904243,31.76565134,0,-0.193796241,0.104019089,35.70036645,75.67940887
Agricultural Inputs and Services,Fertilizers,2005,27.7019694,36.95743486,0.559303789,-0.765425154,1.497310827,111.3755271,139.0774965
Agricultural Inputs and Services,Fertilizers,2006,43.1280454,31.00510025,-2.450287241,-4.63682938,1.398179976,67.08292916,110.2109746
Agricultural Inputs and Services,Fertilizers,2007,5.599802055,7.735632097,-0.936829062,-1.237709504,0.639013383,212.1136361,217.7134381
Agricultural Inputs and Services,Fertilizers,2008,10.72513083,10.15477814,0,-0.561968528,0.471559365,187.1971997,197.9223306
Agricultural Inputs and Services,Fertilizers,2009,21.32602176,21.54995782,-0.768599966,4.456891042,-4.917828009,186.3445864,207.6706082
Agricultural Inputs and Services,Fertilizers,2010,10.65008741,18.35071854,-0.583272624,3.433258344,-3.797106149,167.615251,178.2653384
Agricultural Inputs and Services,Fertilizers,2011,8.805963459,8.176454055,0.754255805,-0.017247114,0.636519692,203.31743,212.1233934
Agricultural Inputs and Services,Fertilizers,2012,4.971492134,2.006612129,3.43273109,-0.396492525,4.468694155,242.4699064,247.4413985
Agricultural Inputs and Services,Fertilizers,2013,-15.18761193,-16.27085003,3.569335115,1.689346568,3.66984956,198.3662861,183.1786741
Agricultural Inputs and Services,Fertilizers,2014,-15.01088602,-17.2994756,0.726127975,-2.045830223,3.001243574,266.7687918,251.7579058
Agricultural Inputs and Services,Fertilizers,2015,-8.445672584,-8.763832182,-1.73265013,-5.706824224,3.766901558,280.9027877,272.4571152
Agricultural Inputs and Services,Fertilizers,2016,-1.838485358,-0.759508143,-0.559621774,-5.132074001,3.131119976,183.9064025,182.0679172
Agricultural Inputs and Services,Fertilizers,2017,23.51466544,17.29476035,1.991113848,-0.651164787,1.964301019,129.3732987,152.8879642
Agricultural Inputs and Services,Fertilizers,2018,36.5391106,29.5527157,5.221413082,2.872950113,2.997706337,132.9561675,169.4952781
Apparel,Accessories and Specialty Apparel,2003,48.47043494,69.80431637,-23.09020433,-18.41989502,-2.400996639,405.8677568,454.3381917
Apparel,Accessories and Specialty Apparel,2004,-23.89575649,-3.478167142,-28.62381611,-26.80482632,1.598199145,456.2635352,432.3677787
Apparel,Accessories and Specialty Apparel,2005,-81.35650064,-44.41624702,-23.54044239,-28.64097119,7.383068476,326.623007,245.2665064
Apparel,Accessories and Specialty Apparel,2006,-21.79263637,-1.539666454,-20.03306253,-26.24833553,5.605994876,252.8465694,231.0539331
Apparel,Accessories and Specialty Apparel,2007,17.12637387,16.40709051,-5.617541012,-5.443505131,1.522265132,274.0942031,291.220577
Apparel,Accessories and Specialty Apparel,2008,6.151438013,14.46181963,-16.76267517,-15.72257208,0.64859442,340.9264504,347.0778884
Apparel,Accessories and Specialty Apparel,2009,13.77980631,42.2334808,-32.90275791,-20.37393817,-8.959040022,272.9496955,286.7295018
Apparel,Accessories and Specialty Apparel,2010,49.91737719,45.67417647,-16.67936218,-15.95246388,-7.539577545,222.0069679,271.9243451
Apparel,Accessories and Specialty Apparel,2011,15.53142944,23.48802786,-8.440773444,-6.945161075,1.414856472,280.514322,296.0457514
Apparel,Accessories and Specialty Apparel,2012,-26.38210864,-39.51746778,2.489654775,-4.810209535,7.596868302,418.0977387,391.7156301
Apparel,Accessories and Specialty Apparel,2013,19.22375159,15.94842964,-0.612978471,-6.167911879,7.664474744,380.1745104,399.3982619
Apparel,Accessories and Specialty Apparel,2014,96.28468109,81.06727919,-1.571244229,-5.411418314,5.474377503,344.0758197,440.3605008
Apparel,Accessories and Specialty Apparel,2015,-1.859747523,-6.029329229,6.763099124,-1.035786451,7.599410447,352.4128757,350.5531282
Apparel,Accessories and Specialty Apparel,2016,-35.02837209,-30.42900057,3.409922524,-3.986311528,8.100766683,598.3538243,563.3254522
Apparel,Accessories and Specialty Apparel,2017,-39.87040809,-19.7502174,-2.728345481,-9.017259979,6.598512608,436.105779,396.2353709
Apparel,Accessories and Specialty Apparel,2018,-13.73961399,-12.81095798,-1.498092303,-7.065133677,6.057526539,344.6085801,330.8689661
Apparel,Accessories and Specialty Apparel,NA,NA,NA,NA,NA,NA,NA,NA
Apparel,Apparel Contractors,2003,-10.79639452,-6.273668411,-2.211418509,-3.237061278,-0.128291636,18.03186695,7.235472429
Apparel,Apparel Contractors,2004,-8.991646786,-8.095350497,-2.398359302,-1.608420321,0.105334834,25.27343586,16.28178907
Apparel,Apparel Contractors,2005,0.83130093,0.800299158,-0.554107749,-0.337269549,0.080241637,5.435402608,6.266703538
Apparel,Apparel Contractors,2006,1.641513345,2.312625202,-0.86097491,-0.389908477,0.093542479,8.283792765,9.92530611
Apparel,Apparel Contractors,2007,0,0.595279628,-0.877864154,-0.931991617,0.04348007,10.21969962,10.21969962
Apparel,Apparel Contractors,2008,1.618209026,2.670880651,-0.887953824,-1.2250652,0.02268286,8.517629488,10.13583851
Apparel,Apparel Contractors,2009,-4.801250149,-3.510898038,-0.794272427,-1.066102149,-0.243596387,10.75640187,5.955151719
Apparel,Apparel Contractors,2010,-1.090627379,-0.503540117,-1.108610904,-0.865135936,-0.327349092,11.41278476,10.32215738
Apparel,Apparel Contractors,2011,2.842736845,2.787553024,0,-0.023500897,0.001121678,0.451656989,3.294393834
Apparel,Apparel Contractors,2012,-1.72754749,-1.056067931,0,-0.285140297,0.164726393,8.944606831,7.217059342
Apparel,Apparel Contractors,2013,6.024658157,6.566770668,0,-0.193732272,0.095175942,8.003902439,14.0285606
Apparel,Apparel Contractors,2014,16.93177474,13.85550105,0,-0.252752353,0.098766746,8.603982652,25.53575739
Apparel,Apparel Contractors,2015,0.69658761,1.332755403,-0.684433546,-1.506607584,0.501148348,15.06470141,15.76128902
Apparel,Apparel Contractors,2016,-5.357009197,-4.494919117,-1.818235364,-3.154367897,0.620197681,44.43224832,39.07523912
Apparel,Apparel Contractors,2017,0.559660582,1.979326314,-1.424833489,-1.819146867,0.346490022,18.8728741,19.43253468
Apparel,Apparel Contractors,2018,-7.015847774,-4.554009355,-2.71933285,-1.968314155,0.3533562,33.49177124,26.47592346
Apparel,Apparel Contractors,NA,NA,NA,NA,NA,NA,NA,NA
Apparel,Men's Clothing,2003,-55.54448028,-7.921826689,-42.13476423,-46.52205035,-1.52189517,172.4712306,116.9267504
Apparel,Men's Clothing,2004,-36.74077203,-8.908709592,-18.57095758,-18.55784594,0.563093425,127.9568071,91.21603507
Apparel,Men's Clothing,2005,5.575657048,23.86852105,-14.08430424,-9.768757693,1.695490317,155.0475096,160.6231666
Apparel,Men's Clothing,2006,8.141903123,15.27973218,-12.81893708,-8.789601107,1.278883552,123.8554754,131.9973785
Apparel,Men's Clothing,2007,11.67569562,16.56739358,-3.113824697,-3.621830778,0.769783705,134.436182,146.1118776
Apparel,Men's Clothing,2008,21.91968834,28.39321647,-9.530741377,-8.03314261,0.311519334,96.99186725,118.9115556
Apparel,Men's Clothing,2009,13.79022827,23.2726664,-16.8644836,-10.35162041,-2.50124526,94.24343757,108.0336658
Apparel,Men's Clothing,2010,10.50547281,40.51968261,-23.75134491,-16.01297754,-3.503259399,134.1825836,144.6880564
Apparel,Men's Clothing,2011,25.34966142,18.43519224,-6.71216984,-6.344856611,0.418736602,131.8549384,157.2045998
Apparel,Men's Clothing,2012,20.40441555,23.1344029,2.655571664,-1.302129786,3.32501027,219.000984,239.4053996
Apparel,Men's Clothing,2013,13.32517297,20.60958891,-3.651528065,-9.697648156,4.651448666,183.8047128,197.1298858
Apparel,Men's Clothing,2014,-19.22417946,-12.67802251,-10.89032371,-13.29737766,4.675763903,198.6679274,179.443748
Apparel,Men's Clothing,2015,-25.48231539,-15.52249765,-3.617855205,-11.20170157,3.492391349,274.3885695,248.9062541
Apparel,Men's Clothing,2016,-29.50780476,-16.81712344,-3.180712143,-5.022997978,3.191756468,201.2842276,171.7764229
Apparel,Men's Clothing,2017,-29.2460699,-15.21920907,-6.110610087,-6.23620211,2.026792054,137.9709637,108.7248938
Apparel,Men's Clothing,2018,-9.720293259,-5.084645927,-5.46443114,-9.189126224,1.912786213,161.8776476,152.1573543
Apparel,Men's Clothing,NA,NA,NA,NA,NA,NA,NA,NA
Apparel,Women's Clothing,2003,-12.69892636,-8.956507909,-3.669350263,-4.090371241,-0.143368683,31.45383537,18.75490901
Apparel,Women's Clothing,2004,-9.290474416,-4.394748136,-1.51515829,-1.863934685,0.041958491,10.54961437,1.25913995
Apparel,Women's Clothing,2005,-0.776072846,-0.332184834,0,-0.283173893,0.035582777,2.39527903,1.619206184
Apparel,Women's Clothing,2006,0,0.388343599,0,-0.161810283,0.019259415,0,0
Apparel,Women's Clothing,2007,0,-0.293950745,0,0.010710304,0.002447535,0.782587515,0.782587515
Apparel,Women's Clothing,2008,0,-0.304467267,0,-0.000230932,0.003120107,0.53001952,0.53001952
Apparel,Women's Clothing,2009,0,0,0,0,0,0,0
Apparel,Women's Clothing,2010,0,0,0,0,0,0,0
Apparel,Women's Clothing,2011,0,0,0,0,0,0,0
Apparel,Women's Clothing,2012,2.565827587,4.489409443,0,-0.071776886,0.024226739,0,2.565827587
Apparel,Women's Clothing,2013,0,0,0,0,0,0,0
Apparel,Women's Clothing,2014,-4.959187118,-2.987547918,0,-0.331198192,0.141805657,7.828147922,2.868960804
Apparel,Women's Clothing,2015,0,0,0,0,0,0,0
Apparel,Women's Clothing,2016,0,0,0,0,0,0,0
Apparel,Women's Clothing,2017,0,0,0,0,0,0,0
Apparel,Women's Clothing,2018,0,0,0,0,0,0,0
Apparel,Women's Clothing,NA,NA,NA,NA,NA,NA,NA,NA
Automotive,Automotive Parts,2003,-18.36695704,13.45656327,-34.09691916,-26.96131123,-6.694119061,922.7520328,904.3850757
Automotive,Automotive Parts,2004,-129.1949457,-86.95213179,-18.92054182,-29.86056911,5.966832363,1053.395195,924.2002491
Automotive,Automotive Parts,2005,71.6371934,81.37401789,-6.039092092,-24.47503639,11.6346842,850.5536798,922.1908732
Automotive,Automotive Parts,2006,76.34755095,143.7179157,-8.741587548,-34.72393748,15.79900029,670.5935311,746.941082
Automotive,Automotive Parts,2007,-113.8971416,-105.4228747,-37.06807077,-25.20239596,5.238431081,871.5219223,757.6247807
Automotive,Automotive Parts,2008,-286.2143552,-173.2631735,-72.40634876,-69.35878332,4.874085256,1030.126847,743.9124917
Automotive,Automotive Parts,2009,-125.6053192,-11.60207195,-90.36061217,-133.4580614,-22.86727002,1006.032111,880.4267922
Automotive,Automotive Parts,2010,-109.9994006,-57.16715351,-75.80236009,-46.2826244,-12.59974442,598.4182443,488.4188436
Automotive,Automotive Parts,2011,-75.45745223,-62.61128628,36.83677634,32.06349486,1.688393765,553.7399367,478.2824845
Automotive,Automotive Parts,2012,17.91562554,-15.38239854,41.41440472,19.18942565,6.847469066,428.623967,446.5395926
Automotive,Automotive Parts,2013,3.925284137,-27.81611981,37.08813326,18.85821955,6.863229885,437.5960075,441.5212917
Automotive,Automotive Parts,2014,53.28067816,22.18084453,23.93292236,16.69682036,5.647659586,358.0183531,411.2990312
Automotive,Automotive Parts,2015,26.0155882,6.506829916,16.37865195,12.25618822,9.992959664,448.9561953,474.9717835
Automotive,Automotive Parts,2016,42.36802874,10.23416311,28.73564057,16.59068314,9.77228173,422.874227,465.2422558
Automotive,Automotive Parts,2017,36.94171211,26.97560459,7.082704649,1.130255135,6.620496019,618.72877,655.6704821
Automotive,Automotive Parts,2018,30.0794341,40.41903691,3.856035871,-3.379909475,5.609474031,481.7636677,511.8431018
Automotive,Automotive Parts,NA,NA,NA,NA,NA,NA,NA,NA
Automotive,Gasoline Engines and Engine Parts,2003,-1.935514124,-1.104324071,-0.723418639,-1.019989642,-0.079393346,22.83196049,20.89644637
Automotive,Gasoline Engines and Engine Parts,2004,-17.79717468,-14.87813762,-2.978448906,-2.375565221,0.153305685,40.42663575,22.62946107
Automotive,Gasoline Engines and Engine Parts,2005,4.507240634,3.717316334,-0.87675579,-0.935381628,0.246652046,19.13891295,23.64615358
Automotive,Gasoline Engines and Engine Parts,2006,14.91822054,12.39869667,0,-0.086091626,0.016436834,0.96137834,15.87959888
Automotive,Gasoline Engines and Engine Parts,2007,-0.631556515,0.68619161,-1.563310717,-1.808308597,0.193762864,29.93169041,29.30013389
Automotive,Gasoline Engines and Engine Parts,2008,13.53131465,17.5309371,-2.309247335,-3.382685841,0.084591207,31.92557659,45.45689125
Automotive,Gasoline Engines and Engine Parts,2009,4.890611933,7.075143273,-6.803052405,-4.543734437,-0.838459511,29.66461736,34.55522929
Automotive,Gasoline Engines and Engine Parts,2010,-15.10060877,-7.483608349,-5.791890635,-5.337651492,-1.317013037,68.67022598,53.56961722
Automotive,Gasoline Engines and Engine Parts,2011,3.859111423,0.930123371,2.872625936,2.614012757,0.117976658,34.65718955,38.51630097
Automotive,Gasoline Engines and Engine Parts,2012,3.603670997,-0.899227449,2.981774496,2.444334459,0.67988688,35.68396572,39.28763671
Automotive,Gasoline Engines and Engine Parts,2013,21.17434446,15.7641954,2.285497631,2.481227184,0.531938772,57.41657338,78.59091783
Automotive,Gasoline Engines and Engine Parts,2014,15.93812027,21.76331663,2.320753853,1.163778118,0.52953139,49.45655648,65.39467675
Automotive,Gasoline Engines and Engine Parts,2015,-10.11823715,-14.2407793,2.308205312,0.642541961,2.198834913,86.92205506,76.80381791
Automotive,Gasoline Engines and Engine Parts,2016,-6.826773652,-8.045483956,1.515921044,0.090143916,1.829368684,72.96854202,66.14176837
Automotive,Gasoline Engines and Engine Parts,2017,12.48807975,8.616653334,0,-0.366130006,1.040770133,57.09563529,69.58371504
Automotive,Gasoline Engines and Engine Parts,2018,10.69287647,6.602264208,0,-0.921490413,0.726722365,82.72983355,93.42271002
Automotive,Gasoline Engines and Engine Parts,NA,NA,NA,NA,NA,NA,NA,NA
Automotive,Metal Mills and Foundries,2003,23.18158072,33.08421674,-18.50509139,-18.42537193,-0.851345954,142.8514712,166.0330519
